source_dataset,cohort,competence_month,n_unique_aih,n_active_hospitals,n_active_provider_municipalities,source_artifact,source_sha256,year,adult_population,total_population,denominator_population,rate_per_100k,denominator_definition
monthly_observed_uptake,B,202504,862,185.0,124.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202505,764,200.0,134.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202506,806,192.0,125.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202507,883,196.0,131.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202508,875,197.0,133.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202509,943,198.0,133.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202510,892,194.0,130.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202511,856,190.0,132.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202512,900,192.0,127.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
annual_rate_metadata,A,NA,6984,NA,NA,aim1_annual_rates.parquet,ae41851963ed76e3604914fb9443fef294ff987ac53a1c94d048c76c8580b50a,2021.0,157421555.0,210103642.0,210103642.0,3.3240737445189077,official total population
annual_rate_metadata,A,NA,12906,NA,NA,aim1_annual_rates.parquet,ae41851963ed76e3604914fb9443fef294ff987ac53a1c94d048c76c8580b50a,2022.0,158744904.0,210862983.0,210862983.0,6.120562185160779,official total population
annual_rate_metadata,A,NA,18179,NA,NA,aim1_annual_rates.parquet,ae41851963ed76e3604914fb9443fef294ff987ac53a1c94d048c76c8580b50a,2023.0,160178633.0,211695158.0,211695158.0,8.587348039391625,official total population
annual_rate_metadata,A,NA,23836,NA,NA,aim1_annual_rates.parquet,ae41851963ed76e3604914fb9443fef294ff987ac53a1c94d048c76c8580b50a,2024.0,161673118.0,212583750.0,212583750.0,11.212522123633628,official total population
annual_rate_metadata,A,NA,29270,NA,NA,aim1_annual_rates.parquet,ae41851963ed76e3604914fb9443fef294ff987ac53a1c94d048c76c8580b50a,2025.0,163082693.0,213421037.0,213421037.0,13.714674247412638,official total population
annual_rate_metadata,B,NA,2535,NA,NA,aim1_annual_rates.parquet,ae41851963ed76e3604914fb9443fef294ff987ac53a1c94d048c76c8580b50a,2021.0,157421555.0,210103642.0,157421555.0,1.610325854042034,official adult population aged >=18
annual_rate_metadata,B,NA,5356,NA,NA,aim1_annual_rates.parquet,ae41851963ed76e3604914fb9443fef294ff987ac53a1c94d048c76c8580b50a,2022.0,158744904.0,210862983.0,158744904.0,3.37396657470025,official adult population aged >=18
annual_rate_metadata,B,NA,7260,NA,NA,aim1_annual_rates.parquet,ae41851963ed76e3604914fb9443fef294ff987ac53a1c94d048c76c8580b50a,2023.0,160178633.0,211695158.0,160178633.0,4.532439729336434,official adult population aged >=18
annual_rate_metadata,B,NA,8429,NA,NA,aim1_annual_rates.parquet,ae41851963ed76e3604914fb9443fef294ff987ac53a1c94d048c76c8580b50a,2024.0,161673118.0,212583750.0,161673118.0,5.213606383220741,official adult population aged >=18
annual_rate_metadata,B,NA,9917,NA,NA,aim1_annual_rates.parquet,ae41851963ed76e3604914fb9443fef294ff987ac53a1c94d048c76c8580b50a,2025.0,163082693.0,213421037.0,163082693.0,6.080964091020989,official adult population aged >=18
